id,value
flare,
flare.analytics,
flare.analytics.cluster,
flare.analytics.cluster.Federal Republic of Germany,1893
flare.animate,
flare.animate.Manchester,915
flare.data,
flare.data.converters,
flare.data.converters.United Kingdom of Great Britain and Northern Ireland,804
flare.display,
flare.display.Delhi,729
flare.flex,
flare.flex.Islamic Republic of Afghanistan,637
flare.physics,
flare.physics.Russian Federation,487
flare.query,
flare.query.United States,474
flare.scale,
flare.scale.Commonwealth of Australia,463
flare.util,
flare.util.Madrid,377
flare.vis,
flare.vis.axis,
flare.vis.axis.Paris,366
